order_id,products
17,13107 21463
34,16083 47766 39475 2596 21137 43504
137,24852 23794 38689 41787 25890
182,39275 5479 9337 47672 13629 33000 32109 41149 11520
257,24852 49235 27104 27966 37646 29837 30233 39475
313,12779 45007 21903 46906 13198 30391 28535
353,35561
386,47766 24852 45066 39180 40759 21479 42265 15872 38281 22124 4920 28985 30450 25513 8174 37935
414,20392 20564 21230 21709 27845 33320 31730 14947 4472
418,47766 40268 30489 13702 38694 41950
437,27966 4589 13176 365 1463 47209 10132 45106 30233 5769
452,13176 13166 36735 27966 40386 28666 5262 36606 36313 25340 47209 30336 19019 24964 19370 44632 27553 12020 30388
474,41950
492,24852 44632 21137 43086 28918 26604 33232 46667 14833 49475 21903 49683 13702 26315 37766 20542 40761 24499 8424
497,31964 27275 39947
513,49328
517,24852 21903 8424 13198 37646 25890 44560 9387 48679 24184 13819 8193
604,12099 24852 19660 16797
680,7743 14836 30441
758,None
759,5612 24852 14651 47766 39527 16959 6770 15269 34841 14444 4290 1752 44697 46654
887,24852 41290 28204 25647 28593
1161,47626 22935 44142
1195,13870
1304,24852 23909 22035 14218 17122
1408,46676 47912 43352 16428 10163 47209 1158 47626
1513,29373 5385 16556
1564,None
1727,12218 40310 28710
1789,None
1802,47209 13176 34969 3111 21709 3896 43295 21137 38313 35221 43713 4920 13076 45007 20114 11368 10749 11512 8424 42265 31338 28849 17871 38944 44514 38837 34824 41665 17600 42736 31612 26209 890 24838 46175 16874 2024
1809,5258 280
1810,6182 19660 45007
1867,21386 39275 38456 9020 6568 27307 14992
1932,35417 21903 30668 46485
1962,21873
2034,47626 47209 13944 26209 15950 42637 33527 18465 9839
2070,24852 5535 39322 19986 47144
2102,45004 5769
2184,26914 47209 29447 13176 12020
2247,13176 11422 18234 33198 44359 19125
2267,38569
2297,None
2345,37141 13176 32689 42803 16282 46807 4920 35199 47626
2421,5015 24799 6400 36493 49683 8548 11182 10753 26209 12193 13263 28465 47626 34270 28985 13409 2592 3957 43961 21462 46902 47209 32578 33898 343
2481,28373 30795 36651 24852 42368 23288 27573 47196 19046 6343 29363 20564
2671,25466 47626 30492 30850 3873 13176 16303 21903 47209 432 44632 21137 30884 10132
2721,33129 21137 43772 45 12817
2806,10957 19953 47031 38511 8644
2887,41950 45123 24852 13249 8518 26283
2990,42265 39475 32734 28204
3013,38312 48220 31635 42803
3188,21137 13176 26856 49235
3221,30142 4945 27966 30391 47626 9825 3849 21903 43961 24852
3223,24852 11777 28745 36011 14702 8277 34668 30391 41950 10070 43086 18362 23644 28156 4920 15626 30489 28199
3265,24852 5884 15258
3344,41277 16953 444 33000 47058 29345 13966 32637 12911 14320
3373,45154
3384,33802 5258 41177 39947 39409
3408,5479 21267 47626 13176 45066 1090
3507,42450
3519,None
3587,15424 11885 40332 13287 10613 13176 7215 27985 38079 7358
3702,28571 47185 27845 9465
3724,10235 12174
3732,3957 29077 21616 24852 2855 21137
3839,27845 34969 8193 11896 47626
3866,5077 27903 24852
3867,25817 49508 28682
3870,35470 14715
3962,38154 25818 22935 2513
3981,22959 25466 25340 24852
4002,23288 29801 7035
4055,47209 40604 11182 30391 31668 27247 34499
4065,5818 9839 20114 44142
4133,13176 39180 48940 36011 45570 47209 31717 41950 8518
4144,27845 5077 5764 5578 24535 31343 30391 39877 28199 21137 38108 22298 46667 7806 36717
4353,46676 16415 48527 38929 44479 46041 27360 41148 25070 39561 18394 27323 6236 21292 35124 47570 40348 5258 14147 17559 45747 27761 49520 40648 2234 21410
4372,5959 24852 49235 46584 21096 48171 15995 17600 22035 31343
4396,49235 6187 27086 1940 39488
4458,9076 24852 36425 44765 16611 29675 44042 5456 14999 45954 35561 16965 33065 48144
4462,24748 4313 39859 26505 16254 32520
4551,47630 24852 39001 14764 49683 27966 26209 43858 39928
4579,15324 4942
